"Version","N","Estimator","Time_us"
"new_zig",10,"Sn",4.67564
"new_zig",10,"Qn",5.88004
"new_zig",100,"Sn",5.53378
"new_zig",100,"Qn",26.84996
"new_zig",500,"Sn",20.4761
"new_zig",500,"Qn",90.55652
"new_zig",1000,"Sn",32.58294
"new_zig",1000,"Qn",219.16848
"new_zig",5000,"Sn",359.5544
"new_zig",5000,"Qn",1562.58675
"new_zig",10000,"Sn",337.3547
"new_zig",10000,"Qn",14944.8177
"new_zig",50000,"Sn",1496.116
"new_zig",50000,"Qn",77479.5734
"new_zig",100000,"Sn",2691.8808
"new_zig",100000,"Qn",165334.8896
